2015-11-16 7:25:06 - INFO --> 16-11-2015 06:25:06 AM, ::1, Cms, insert, huukhuyen 
2015-11-16 7:30:12 - INFO --> 16-11-2015 06:30:12 AM, ::1, Cms, insert, huukhuyen 
2015-11-16 7:32:15 - INFO --> 16-11-2015 06:32:15 AM, ::1, Cms, insert, huukhuyen 
2015-11-16 7:35:04 - INFO --> 16-11-2015 06:35:04 AM, ::1, Cms, insert, huukhuyen 
2015-11-16 7:37:13 - INFO --> 16-11-2015 06:37:13 AM, ::1, Cms, insert, huukhuyen 
2015-11-16 7:37:52 - INFO --> 16-11-2015 06:37:52 AM, ::1, Cms, insert, huukhuyen 
2015-11-16 7:39:23 - INFO --> 16-11-2015 06:39:23 AM, ::1, Cms, insert, huukhuyen 
2015-11-16 7:40:34 - INFO --> 16-11-2015 06:40:34 AM, ::1, Cms, insert, huukhuyen 
2015-11-16 7:41:28 - INFO --> 16-11-2015 06:41:28 AM, ::1, Cms, insert, huukhuyen 
2015-11-16 7:44:42 - INFO --> 16-11-2015 06:44:42 AM, ::1, Cms, insert, huukhuyen 
2015-11-16 7:45:40 - INFO --> 16-11-2015 06:45:40 AM, ::1, Cms, insert, huukhuyen 
2015-11-16 7:47:09 - INFO --> 16-11-2015 06:47:09 AM, ::1, Cms, insert, huukhuyen 
2015-11-16 7:51:47 - INFO --> 16-11-2015 06:51:47 AM, ::1, Cms, insert, huukhuyen 
2015-11-16 7:53:18 - INFO --> 16-11-2015 06:53:18 AM, ::1, Cms, insert, huukhuyen 
2015-11-16 7:55:57 - INFO --> 16-11-2015 06:55:57 AM, ::1, Cms, insert, huukhuyen 
2015-11-16 7:59:29 - INFO --> 16-11-2015 06:59:29 AM, ::1, Cms, insert, huukhuyen 
2015-11-16 8:02:04 - INFO --> 16-11-2015 07:02:04 AM, ::1, Cms, update, huukhuyen 
2015-11-16 8:04:05 - INFO --> 16-11-2015 07:04:05 AM, ::1, Cms, insert, huukhuyen 
2015-11-16 8:05:13 - INFO --> 16-11-2015 07:05:13 AM, ::1, ProductCategories, insert, huukhuyen 
2015-11-16 8:06:31 - INFO --> 16-11-2015 07:06:31 AM, ::1, Product, insert, huukhuyen 
2015-11-16 8:08:50 - INFO --> 16-11-2015 07:08:50 AM, ::1, Product, insert, huukhuyen 
2015-11-16 8:10:17 - INFO --> 16-11-2015 07:10:17 AM, ::1, Product, insert, huukhuyen 
2015-11-16 8:11:21 - INFO --> 16-11-2015 07:11:21 AM, ::1, Product, insert, huukhuyen 
2015-11-16 8:18:52 - INFO --> 16-11-2015 07:18:52 AM, ::1, ProductCategories, insert, huukhuyen 
2015-11-16 8:20:14 - INFO --> 16-11-2015 07:20:14 AM, ::1, Product, insert, huukhuyen 
2015-11-16 8:21:26 - INFO --> 16-11-2015 07:21:26 AM, ::1, Product, insert, huukhuyen 
2015-11-16 8:22:48 - INFO --> 16-11-2015 07:22:48 AM, ::1, Product, insert, huukhuyen 
2015-11-16 8:23:35 - INFO --> 16-11-2015 07:23:35 AM, ::1, Product, insert, huukhuyen 
2015-11-16 8:24:16 - INFO --> 16-11-2015 07:24:16 AM, ::1, Product, insert, huukhuyen 
2015-11-16 8:25:11 - INFO --> 16-11-2015 07:25:11 AM, ::1, Product, insert, huukhuyen 
2015-11-16 8:30:09 - INFO --> 16-11-2015 07:30:09 AM, ::1, ProductCategories, insert, huukhuyen 
2015-11-16 8:31:03 - INFO --> 16-11-2015 07:31:03 AM, ::1, Product, insert, huukhuyen 
2015-11-16 8:32:16 - INFO --> 16-11-2015 07:32:16 AM, ::1, Product, insert, huukhuyen 
2015-11-16 8:32:56 - INFO --> 16-11-2015 07:32:56 AM, ::1, Product, insert, huukhuyen 
2015-11-16 8:34:35 - INFO --> 16-11-2015 07:34:35 AM, ::1, Product, insert, huukhuyen 
2015-11-16 8:35:36 - INFO --> 16-11-2015 07:35:36 AM, ::1, Product, insert, huukhuyen 
2015-11-16 8:36:13 - INFO --> 16-11-2015 07:36:13 AM, ::1, Product, insert, huukhuyen 
2015-11-16 8:38:53 - INFO --> 16-11-2015 07:38:53 AM, ::1, ProductCategories, insert, huukhuyen 
2015-11-16 8:39:20 - INFO --> 16-11-2015 07:39:20 AM, ::1, ProductCategories, update, huukhuyen 
2015-11-16 8:40:03 - INFO --> 16-11-2015 07:40:03 AM, ::1, Product, insert, huukhuyen 
2015-11-16 8:40:52 - INFO --> 16-11-2015 07:40:52 AM, ::1, Product, insert, huukhuyen 
2015-11-16 8:41:21 - INFO --> 16-11-2015 07:41:21 AM, ::1, Product, insert, huukhuyen 
2015-11-16 8:43:12 - INFO --> 16-11-2015 07:43:12 AM, ::1, Product, insert, huukhuyen 
2015-11-16 8:43:41 - INFO --> 16-11-2015 07:43:41 AM, ::1, Product, insert, huukhuyen 
2015-11-16 8:44:16 - INFO --> 16-11-2015 07:44:16 AM, ::1, Product, insert, huukhuyen 
2015-11-16 8:47:47 - INFO --> 16-11-2015 07:47:47 AM, ::1, ProductCategories, insert, huukhuyen 
2015-11-16 8:49:03 - INFO --> 16-11-2015 07:49:03 AM, ::1, Product, insert, huukhuyen 
2015-11-16 8:49:50 - INFO --> 16-11-2015 07:49:50 AM, ::1, Product, insert, huukhuyen 
2015-11-16 8:50:26 - INFO --> 16-11-2015 07:50:26 AM, ::1, Product, insert, huukhuyen 
2015-11-16 8:51:08 - INFO --> 16-11-2015 07:51:08 AM, ::1, Product, insert, huukhuyen 
2015-11-16 8:52:05 - INFO --> 16-11-2015 07:52:05 AM, ::1, Product, insert, huukhuyen 
