2011-05-09 0:15:17 - INFO --> 08-05-2011 17:15:17 PM, 127.0.0.1, ForumBoxType, getAll, anhtuan 
2011-05-09 0:15:20 - INFO --> 08-05-2011 17:15:20 PM, 127.0.0.1, ForumBoxType, getAll, anhtuan 
2011-05-09 0:20:07 - INFO --> 08-05-2011 17:20:07 PM, 127.0.0.1, ForumBoxType, getAll, anhtuan 
2011-05-09 0:20:09 - INFO --> 08-05-2011 17:20:09 PM, 127.0.0.1, ForumBoxType, getAll, anhtuan 
2011-05-09 0:20:21 - INFO --> 08-05-2011 17:20:21 PM, 127.0.0.1, ForumBoxType, get, anhtuan 
2011-05-09 0:20:27 - INFO --> 08-05-2011 17:20:27 PM, 127.0.0.1, ForumBoxType, get, anhtuan 
2011-05-09 0:21:28 - INFO --> 08-05-2011 17:21:28 PM, 127.0.0.1, ForumBoxType, get, anhtuan 
2011-05-09 0:22:30 - INFO --> 08-05-2011 17:22:30 PM, 127.0.0.1, ForumBoxType, get, anhtuan 
2011-05-09 0:32:08 - INFO --> 08-05-2011 17:32:08 PM, 127.0.0.1, ForumBoxType, getAll, anhtuan 
2011-05-09 0:32:11 - INFO --> 08-05-2011 17:32:11 PM, 127.0.0.1, ForumBoxType, get, anhtuan 
2011-05-09 0:32:17 - INFO --> 08-05-2011 17:32:17 PM, 127.0.0.1, ForumBoxType, getAll, anhtuan 
2011-05-09 0:32:20 - INFO --> 08-05-2011 17:32:20 PM, 127.0.0.1, ForumBoxType, get, anhtuan 
2011-05-09 0:32:26 - INFO --> 08-05-2011 17:32:26 PM, 127.0.0.1, ForumBoxType, getAll, anhtuan 
2011-05-09 0:32:30 - INFO --> 08-05-2011 17:32:30 PM, 127.0.0.1, ForumBoxType, getAll, anhtuan 
2011-05-09 0:32:37 - INFO --> 08-05-2011 17:32:37 PM, 127.0.0.1, ForumBoxType, insert, anhtuan 
2011-05-09 0:32:39 - INFO --> 08-05-2011 17:32:39 PM, 127.0.0.1, ForumBoxType, getAll, anhtuan 
2011-05-09 0:32:43 - INFO --> 08-05-2011 17:32:43 PM, 127.0.0.1, ForumBoxType, get, anhtuan 
2011-05-09 0:32:47 - INFO --> 08-05-2011 17:32:47 PM, 127.0.0.1, ForumBoxType, getAll, anhtuan 
2011-05-09 0:32:54 - INFO --> 08-05-2011 17:32:54 PM, 127.0.0.1, ForumBoxType, delete, anhtuan 
2011-05-09 0:32:55 - INFO --> 08-05-2011 17:32:55 PM, 127.0.0.1, ForumBoxType, getAll, anhtuan 
2011-05-09 0:32:58 - INFO --> 08-05-2011 17:32:58 PM, 127.0.0.1, ForumBoxType, get, anhtuan 
2011-05-09 0:33:03 - INFO --> 08-05-2011 17:33:03 PM, 127.0.0.1, ForumBoxType, getAll, anhtuan 
2011-05-09 0:37:07 - INFO --> 08-05-2011 17:37:07 PM, 127.0.0.1, ForumBoxType, get, anhtuan 
